,id,full_name,first_name,last_name,is_active
458,76224,Harry Boykoff,Harry,Boykoff,False
459,76225,Winford Boynes,Winford,Boynes,False
460,200841,Cedric Bozeman,Cedric,Bozeman,False
461,76226,Steve Bracey,Steve,Bracey,False
462,202342,Craig Brackins,Craig,Brackins,False
463,76227,Gary Bradds,Gary,Bradds,False
464,76228,Alex Bradley,Alex,Bradley,False
465,76229,Alonzo Bradley,Alonzo,Bradley,False
466,202340,Avery Bradley,Avery,Bradley,False
467,76233,Bill Bradley,Bill,Bradley,False
468,76230,Charles Bradley,Charles,Bradley,False
469,76231,Dudley Bradley,Dudley,Bradley,False
470,76232,Joe Bradley,Joe,Bradley,False
471,2214,Michael Bradley,Michael,Bradley,False
472,762,Shawn Bradley,Shawn,Bradley,False
473,1628396,Tony Bradley,Tony,Bradley,False
474,1361,Mark Bradtke,Mark,Bradtke,False
475,66,Marques Bragg,Marques,Bragg,False
476,1765,Torraye Braggs,Torraye,Braggs,False
477,1920,A.J. Bramlett,A.J.,Bramlett,False
478,76237,Adrian Branch,Adrian,Branch,False
479,1882,Elton Brand,Elton,Brand,False
480,210,Terrell Brandon,Terrell,Brandon,False
481,1631103,Malaki Branham,Malaki,Branham,True
482,76238,Bob Brannum,Bob,Brannum,False
483,76239,Brad Branson,Brad,Branson,False
484,76240,Jesse Branson,Jesse,Branson,False
485,1629714,Jarrell Brantley,Jarrell,Brantley,False
486,76241,Jim Brasco,Jim,Brasco,False
487,76242,Mike Bratz,Mike,Bratz,False
488,76243,Carl Braun,Carl,Braun,False
489,1631128,Christian Braun,Christian,Braun,True
490,1629649,Ignas Brazdeikis,Ignas,Brazdeikis,False
491,160,Tim Breaux,Tim,Breaux,False
492,2452,J.R. Bremer,J.R.,Bremer,False
493,76245,Pete Brennan,Pete,Brennan,False
494,76246,Tom Brennan,Tom,Brennan,False
495,76247,Randy Breuer,Randy,Breuer,False
496,201147,Corey Brewer,Corey,Brewer,False
497,2249,Jamison Brewer,Jamison,Brewer,False
498,76248,Jim Brewer,Jim,Brewer,False
499,76249,Ron Brewer,Ron,Brewer,False
500,200758,Ronnie Brewer,Ronnie,Brewer,False
501,2056,Primoz Brezec,Primoz,Brezec,False
502,76250,Frank Brian,Frank,Brian,False
503,783,Frank Brickowski,Frank,Brickowski,False
504,76252,Junior Bridgeman,Junior,Bridgeman,False
505,76253,Bill Bridges,Bill,Bridges,False
506,1641779,Jalen Bridges,Jalen,Bridges,False
507,1628969,Mikal Bridges,Mikal,Bridges,True
508,1628970,Miles Bridges,Miles,Bridges,True
509,76254,Al Brightman,Al,Brightman,False
510,1628578,Amida Brimah,Amida,Brimah,False
511,76255,Audley Brindley,Audley,Brindley,False
512,1628515,Isaiah Briscoe,Isaiah,Briscoe,False
513,76256,John Brisker,John,Brisker,False
514,1629052,Oshae Brissett,Oshae,Brissett,True
515,76257,Allan Bristow,Allan,Bristow,False
516,76258,Tyrone Britt,Tyrone,Britt,False
517,76259,Wayman Britt,Wayman,Britt,False
518,76260,Mike Brittain,Mike,Brittain,False
519,76261,David Britton,David,Britton,False
520,1631167,Izaiah Brockington,Izaiah,Brockington,True
521,201972,Jon Brockman,Jon,Brockman,False
522,1629151,Ryan Broekhoff,Ryan,Broekhoff,False
523,76262,Jim Brogan,Jim,Brogan,False
524,1627763,Malcolm Brogdon,Malcolm,Brogdon,True
525,76263,Gary Brokaw,Gary,Brokaw,False
526,76264,Price Brookfield,Price,Brookfield,False
527,201166,Aaron Brooks,Aaron,Brooks,False
528,1629717,Armoni Brooks,Armoni,Brooks,True
529,1628415,Dillon Brooks,Dillon,Brooks,True
530,76265,Kevin Brooks,Kevin,Brooks,False
531,202705,MarShon Brooks,MarShon,Brooks,False
532,76266,Michael Brooks,Michael,Brooks,False
533,418,Scott Brooks,Scott,Brooks,False
534,2810,Andre Brown,Andre,Brown,False
535,1626148,Anthony Brown,Anthony,Brown,False
536,76284,Bob Brown,Bob,Brown,False
537,201628,Bobby Brown,Bobby,Brown,False
538,1628971,Bruce Brown,Bruce,Brown,True
539,359,Chucky Brown,Chucky,Brown,False
540,2245,Damone Brown,Damone,Brown,False
541,76270,Darrell Brown,Darrell,Brown,False
542,244,Dee Brown,Dee,Brown,False
543,200793,Dee Brown,Dee,Brown,False
544,201974,Derrick Brown,Derrick,Brown,False
545,2484,Devin Brown,Devin,Brown,False
546,2081,Ernest Brown,Ernest,Brown,False
547,76272,Fred Brown,Fred,Brown,False
548,76273,George Brown,George,Brown,False
549,1871,Gerald Brown,Gerald,Brown,False
550,76275,Harold Brown,Harold,Brown,False
551,203913,Jabari Brown,Jabari,Brown,False
552,1627759,Jaylen Brown,Jaylen,Brown,True
553,76276,John Brown,John,Brown,False
554,2208,Kedrick Brown,Kedrick,Brown,False
555,1631112,Kendall Brown,Kendall,Brown,True
556,1641738,Kobe Brown,Kobe,Brown,True
557,2198,Kwame Brown,Kwame,Brown,False
558,76278,Leon Brown,Leon,Brown,False
559,76279,Lewis Brown,Lewis,Brown,False
560,203485,Lorenzo Brown,Lorenzo,Brown,False
561,992,Marcus Brown,Marcus,Brown,False
562,203900,Markel Brown,Markel,Brown,False
563,1479,Mike Brown,Mike,Brown,False
564,1629650,Moses Brown,Moses,Brown,True
